날짜,시간,일정,주소,메모
1일차,07:30,아침식사 - La Norcineria di Iacozzilli,"Via Natale del Grande, 15, 00153 Roma RM","포르케타 샌드위치 추천. 영업 08:00-14:00/16:30-20:00, 일요일 휴무. 트라스테베레 인근 숙소 기준"
1일차,08:15,"이동 (도보 약 25분, 또는 버스)",,트라스테베레 → 콜로세움
1일차,09:00,콜로세움 관람,"P.za del Colosseo, 1, 00184 Roma RM",통합권(Full Experience Ticket) 온라인 사전 예약 필수. 영업 08:30-16:30
1일차,10:30,이동 (도보 약 5분),,콜로세움 → 포로 로마노 입구
1일차,10:35,포로 로마노 & 팔라티노 언덕 관람,"Via della Salara Vecchia, 1385, 00186 Roma RM",콜로세움과 같은 통합권. 반나절 가까이 소요될 수 있음
1일차,12:30,"이동 (도보 약 25분, 또는 버스)",,포로 로마노 → 트라스테베레
1일차,13:00,점심 - Suppli Roma,"Via di S. Francesco a Ripa, 137, 00153 Roma RM","클래식 수플리 + 마리나라 피자 한 조각. 영업 10:00-21:00, 일요일 휴무, 현금 위주"
1일차,13:50,이동 (도보 약 6분),,
1일차,14:00,젤라또 - Fonte della Salute,"Via Cardinale Marmaggi, 2, 00153 Roma RM",유기농 젤라또. 매일 07:00-24:00
1일차,14:30,이동 (도보 약 15분),,트라스테베레 → 자니콜로 언덕
1일차,14:45,자니콜로 언덕 전망대 산책,"Municipio I, 00165 Roma RM",파올라 분수 지나 로마 시내 전망. 무료
1일차,15:30,이동 (도보 약 15분),,자니콜로 → 트라스테베레 시내로
1일차,15:45,산타 마리아 인 트라스테베레 광장·성당,"Piazza di Santa Maria in Trastevere, 00153 Roma RM",12세기 황금 모자이크. 영업 07:30-20:30(주말 -20:00)
1일차,16:30,자유시간 - 피아자 트릴루사 아페리티보,"Piazza Trilussa, 00153 Roma RM",근처 Freni e Frizioni 추천
1일차,19:00,저녁 - L'Osteria della Trippa,"Via Goffredo Mameli, 15/16, 00153 Roma RM","카르보나라·아티초크 기본. 예약 추천, 미쉐린 빕구르망, 일요일 휴무"
2일차,07:15,아침식사 - 근처 카페,Prati / Borgo 지역,스탠딩바에서 카푸치노+코르네토
2일차,08:00,바티칸 박물관 관람,00120 Vatican City,온라인 사전 예약 필수. 일요일 휴관
2일차,11:30,이동 (도보 약 6분),,박물관 → 성 베드로 대성당
2일차,11:40,성 베드로 대성당 관람,"Piazza San Pietro, 00120 Città del Vaticano",노출 많은 옷 입장 제한. 영업 07:00-19:10
2일차,12:30,이동 (도보 약 6분),,성 베드로 대성당 → 젤소미노 산책로
2일차,12:40,젤소미노 산책로 산책,"Passeggiata del Gelsomino, 00165 Roma RM",바티칸 남쪽 벽 한적한 길. 매일 07:00-20:00
2일차,13:10,이동 (도보 약 14분),,젤소미노 → 프라티 지구
2일차,13:25,점심 - Bonci Pizzarium,"Via della Meloria, 43, 00136 Roma RM","마르게리타, 노란 토마토+올리브+케이퍼, 미트볼 추천. 매일 11:15-22:00"
2일차,14:10,이동 (도보 약 21분),,프라티 지구 → 산탄젤로 성
2일차,14:30,산탄젤로 성 관람,"Lungotevere Castello, 50, 00193 Roma RM",강변 전망. 월요일 휴관
2일차,15:30,이동 (도보 약 16분),,다리 건너 첸트로 스토리코로
2일차,15:45,토레 아르헨티나 고양이 보호소,"Via di Torre Argentina, 00186 Roma RM","16:30 마감, 무료(기부 환영), 월요일 휴무"
2일차,16:15,이동 (도보 약 7분),,
2일차,16:25,나보나 광장 산책,"Piazza Navona, 00186 Roma RM",베르니니 피우미 분수
2일차,16:55,이동 (도보 약 4분),,
2일차,17:00,판테온 관람,"Piazza della Rotonda, 00186 Roma RM","무료 입장, 노출 많은 옷 제한. 영업 09:00-19:00"
2일차,17:30,젤라또 - Giolitti,"Via degli Uffici del Vicario, 40, 00186 Roma RM",1890년부터. 매일 07:30-24:00
2일차,19:30,저녁 - Hosteria Grappolo D'Oro,"P.za della Cancelleria, 80, 00186 Roma RM","까르보나라, 볼살 조림, 대구 요리 추천. 예약 권장"
3일차,08:15,아침식사 - 근처 카페,보르게세 공원 인근,스탠딩바에서 카푸치노+코르네토
3일차,09:00,보르게세 미술관 관람,"Piazzale Scipione Borghese, 5, 00197 Roma RM","시간대별 소수 인원제, 1~2주 전 예약 필수. 월요일 휴관"
3일차,11:00,보르게세 공원 산책,"Villa Borghese, Roma RM",
3일차,12:00,"이동 (도보 약 20분, 또는 버스)",,보르게세 공원 → 스페인 계단 지역
3일차,12:20,점심 - Pastificio Guerra,"Via della Croce, 8, 00187 Roma RM","매일 바뀌는 생파스타 2종 중 선택, 5유로 안팎, 현금 위주"
3일차,13:00,이동 (도보 약 3분),,
3일차,13:05,스페인 계단,"Piazza di Spagna, 00187 Roma RM",
3일차,13:45,이동 (도보 약 9분),,
3일차,14:00,트레비 분수,"Piazza di Trevi, 00187 Roma RM","소매치기 주의, 새벽 방문 추천"
3일차,14:30,젤라또 - Gelato g Italiano,"Via delle Muratte, 18a/19, 00187 Roma RM",그 자리에서 바로. 글루텐프리 전문
3일차,15:00,폼피 티라미수 (포장),"Via Santa Maria in Via, 17, 00187 Roma RM",지금 먹지 말고 포장만. 더운 날 2~3시간 내로
3일차,15:30,이동 (도보 약 14분),,트레비 → 캄포 데 피오리
3일차,15:45,캄포 데 피오리 산책 & 자유시간,"Campo de' Fiori, 00186 Roma RM",포장한 티라미수 여기서
3일차,19:00,저녁 - 53 Untitled,"Via del Monte della Farina, 53, 00186 Roma RM","오이스터+리소토, 화이트 트러플 파스타 추천. 예약 권장, 월·일 휴무"
